MD	TVD
2301.57	2075.20
2310.71	2075.77
2320.07	2076.26
2329.42	2076.64
2338.82	2076.95
2348.10	2077.14
2356.37	2077.23
2366.72	2077.32
2375.98	2077.45
2385.17	2077.62
2394.18	2077.78
2403.42	2077.9
2412.78	2077.99
2422.13	2078.03
2431.50	2078.08
2441.08	2078.27
2450.44	2078.53
2459.76	2078.79
2469.09	2079.03
2478.43	2079.18
2487.80	2079.27
2497.15	2079.33
2506.66	2079.34
2516.14	2079.32
2525.65	2079.15
2535.11	2078.87
2544.69	2078.73
2554.69	2078.88
2563.64	2079.14
2573.06	2079.30
2582.56	2079.43
2592.07	2079.54
2601.55	2079.58
2611.02	2079.60
2620.52	2079.64
2630	2079.7
2639.49	2079.76
2648.96	2079.81
2658.43	2079.92
2667.86	2080.12
2677.37	2080.39
2686.74	2080.62
2696.17	2080.85
2705.68	2081.10
2715.17	2081.29
2724.62	2081.44
2734.06	2081.60
2743.54	2081.83
2753.03	2082.12
2762.44	2082.35
2771.93	2082.53
2781.33	2082.77
2790.81	2082.99
2800.72	2083.16
2809.72	2083.31
2819.2	2083.44
2828.68	2083.59
2838.15	2083.76
2847.64	2083.95
2857.04	2084.17
2866.44	2084.41
2875.91	2084.69
2885.37	2084.93
2894.85	2085.18
2904.31	2085.5
2913.6	2085.83
2923.09	2086.13
2932.59	2086.42
2942.06	2086.7
2951.59	2087.02
2961.01	2087.36
2970.48	2087.70
2979.96	2087.98
2989.41	2088.21
2998.86	2088.42
3008.31	2088.63
3017.75	2088.83
3027.22	2089.03
3036.72	2089.19
3046.23	2089.41
3055.63	2089.80
3065.14	2090.21
3074.54	2090.50
3083.89	2090.72
3093.35	2090.90
3102.8	2091.09
3112.13	2091.32
3121.6	2091.55
3131.09	2091.83
3140.52	2092.21
3149.99	2092.68
3159.49	2093.15
3168.95	2093.56
3178.31	2094.04
3187.71	2094.58
3197.18	2095.12
3206.66	2095.63
3216.11	2096.16
3225.64	2096.88
3235.13	2097.62
3244.5	2098.21
3254.02	2098.68
3263.50	2099.08
3273.02	2099.39
3282.38	2099.62
3291.87	2099.86
3301.33	2100.04
3310.8	2100.15
3320.27	2100.34
3329.76	2100.74
3339.17	2101.24
3348.7	2101.61
3358.19	2102.09
3367.66	2102.70
3377.16	2103.26
3386.64	2103.83
3396.14	2104.45
3405.65	2104.97
3415.14	2105.38
3424.71	2105.65
3434.11	2105.85
3443.57	2106.13
3453.03	2106.60
3462.52	2107.05
3471.98	2107.33
3481.48	2107.61
3490.96	2108.13
3500.43	2108.81
3509.92	2109.50
3519.38	2110.13
3528.87	2110.68
3538.27	2111.29
3547.65	2112.05
3557.06	2112.84
3566.55	2113.66
3576.05	2114.43
3585.54	2115.02
3595.01	2115.44
3604.43	2115.70
3613.99	2115.85
3623.4	2116.03
3632.91	2116.28
3642.25	2116.55
3651.64	2116.81
3660.96	2116.99
3670.48	2117.10
3679.81	2117.13
3689.28	2117.13
3698.81	2117.11
3708.28	2116.99
3717.67	2116.87
3726	2116.82
3741	2116.75
3750.34	2116.77
3759.36	2116.84
3768.71	2116.88
3778.33	2116.87
3787.47	2116.81
3796.83	2116.75
3806.18	2116.68
3815.58	2116.70
3824.86	2116.85
3834.13	2116.98
3843.48	2117.09
3852.74	2117.21
3861.93	2117.27
3870.94	2117.23
3880.18	2117.14
3889.54	2117.24
3898.89	2117.77
3908.26	2118.58
3917.84	2119.36
3927.2	2120.05
3936.52	2120.70
3945.85	2121.31
3955.19	2121.90
3964.56	2122.50
3973.91	2123.14
3983.36	2123.83
3992.94	2124.44
4002.34	2124.84
4011.82	2125.08
4021.28	2125.30
4030.73	2125.58
4040.13	2126.03
4049.54	2126.51
4059.06	2126.77
4068.44	2126.83
4077.93	2126.79
4087.3	2126.80
4096.8	2126.89
4106.25	2126.88
4115.75	2126.79
4125.07	2126.85
4134.55	2127.11
4143.94	2127.26
4153.33	2127.22
4162.81	2127.11
4172.27	2127.11
4181.76	2127.17
4191.23	2127.16
4200.67	2127.23
4210.18	2127.32
4219.59	2127.19
4228.98	2126.74
4238.53	2126.00
4248.03	2125.51
4257.39	2124.99
4266.86	2124.44
4276.36	2123.92
4285.83	2123.47
4295.3	2122.99
4304.78	2122.47
4314.26	2121.91
4323.7	2121.36
4333.13	2120.85
4342.64	2120.36
4352.04	2119.91
4361.55	2119.45
4371.11	2118.95
4380.58	2118.56
4389.95	2118.35
4399.34	2118.18
4408.83	2117.98
4418.16	2117.89
4427.68	2117.98
4437.13	2118.12
4446.54	2118.24
4456.04	2118.42
4465.55	2118.67
4474.97	2118.76
4477.00	2118.74
4490.00	2118.65
