Depth	Gamma
2200.00	116.66
2200.20	113.85
2200.40	109.23
2200.60	109.07
2200.80	108.9
2201.00	111.87
2201.20	109.56
2201.40	112.2
2201.60	109.97
2201.80	109.48
2202.00	110.55
2202.20	110.88
2202.40	111.98
2202.60	112.32
2202.80	111.9
2203.00	111.48
2203.20	111.06
2203.40	110.64
2203.60	110.22
2203.80	109.56
2204.00	106.92
2204.20	110.88
2204.40	109.23
2204.60	102.3
2204.80	100.98
2205.00	95.04
2205.20	97.68
2205.40	103.29
2205.60	101.97
2205.80	100.32
2206.00	103.62
2206.20	103.62
2206.40	96.03
2206.60	103.95
2206.80	94.05
2207.00	104.94
2207.20	106.92
2207.40	106.26
2207.60	105.93
2207.80	104.28
2208.00	111.87
2208.20	103.95
2208.40	105.93
2208.60	104.94
2208.80	101.97
2209.00	103.29
2209.20	102.63
2209.40	108.57
2209.60	102.63
2209.80	105.27
2210.00	105.93
2210.20	106.92
2210.40	105.27
2210.60	101.97
2210.80	104.28
2211.00	107.25
2211.20	111.05
2211.40	113.27
2211.60	114.1
2211.80	111.7
2212.00	109.07
2212.20	109.4
2212.40	108.24
2212.60	105.27
2212.80	104.61
2213.00	104.94
2213.20	98.83
2213.40	100.65
2213.60	100.98
2213.80	100.65
2214.00	95.7
2214.20	99
2214.40	96.03
2214.60	100.98
2214.80	100.32
2215.00	100.98
2215.20	100.65
2215.40	102.3
2215.60	97.02
2215.80	100.32
2216.00	95.7
2216.20	97.02
2216.40	105.6
2216.60	100.98
2216.80	103.95
2217.00	102.3
2217.20	101.97
2217.40	103.29
2217.60	104.28
2217.80	105.93
2218.00	108.9
2218.20	105.6
2218.40	104.28
2218.60	102.63
2218.80	105.6
2219.00	103.95
2219.20	110.22
2219.40	115.83
2219.60	108.9
2219.80	105.93
2220.00	108.57
2220.20	113.85
2220.40	109.56
2220.60	111.21
2220.80	111.21
2221.00	113.85
2221.20	116.05
2221.40	117.81
2221.60	118.69
2221.80	118.91
2222.00	118.47
2222.20	120.45
2222.40	116.16
2222.60	114.51
2222.80	118.47
2223.00	121.77
2223.20	118.8
2223.40	119.13
2223.60	120.12
2223.80	117.48
2224.00	118.8
2224.20	113.52
2224.40	113.52
2224.60	116.16
2224.80	111.21
2225.00	117.15
2225.20	111.87
2225.40	114.18
2225.60	107.58
2225.80	113.52
2226.00	110.55
2226.20	115.17
2226.40	112.86
2226.60	110.55
2226.80	111.87
2227.00	112.53
2227.20	111.54
2227.40	109.23
2227.60	100.98
2227.80	112.86
2228.00	107.91
2228.20	111.21
2228.40	111.87
2228.60	113.85
2228.80	110.22
2229.00	109.23
2229.20	107.25
2229.40	107.91
2229.60	105.6
2229.80	113.52
2230.00	107.8
2230.20	106.26
2230.40	107.91
2230.60	109.23
2230.80	108.79
2231.00	108.07
2231.20	108.57
2231.40	110.55
2231.60	115.72
2231.80	115.5
2232.00	115.5
2232.20	118.64
2232.40	116.66
2232.60	110.55
2232.80	117.81
2233.00	110.22
2233.20	112.2
2233.40	110.22
2233.60	115.17
2233.80	115.83
2234.00	115.17
2234.20	112.53
2234.40	112.86
2234.60	118.47
2234.80	115.17
2235.00	114.51
2235.20	116.82
2235.40	124.41
2235.60	117.81
2235.80	115.83
2236.00	105.27
2236.20	103.29
2236.40	111.87
2236.60	113.85
2236.80	117.48
2237.00	119.46
2237.20	117.81
2237.40	114.51
2237.60	111.21
2237.80	108.9
2238.00	111.21
2238.20	110.88
2238.40	110.22
2238.60	109.23
2238.80	113.52
2239.00	113.85
2239.20	109.23
2239.40	104.94
2239.60	108.41
2239.80	116.82
2240.00	116.38
2240.20	110.55
2240.40	110.77
2240.60	113.52
2240.80	112.53
2241.00	110.55
2241.20	112.53
2241.40	112.86
2241.60	115.83
2241.80	111.21
2242.00	110.55
2242.20	114.51
2242.40	110.55
2242.60	110.22
2242.80	114.18
2243.00	111.87
2243.20	109.56
2243.40	110.22
2243.60	112.53
2243.80	111.21
2244.00	113.85
2244.20	118.8
2244.40	116.16
2244.60	117.15
2244.80	115.5
2245.00	116.82
2245.20	111.21
2245.40	115.83
2245.60	108.9
2245.80	114.51
2246.00	112.53
2246.20	112.86
2246.40	114.51
2246.60	112.53
2246.80	113.85
2247.00	110.22
2247.20	109.23
2247.40	114.18
2247.60	109.56
2247.80	112.86
2248.00	107.91
2248.20	111.87
2248.40	109.23
2248.60	112.2
2248.80	107.58
2249.00	105.93
2249.20	105.6
2249.40	106.26
2249.60	106.92
2249.80	109.07
2250.00	109.06
2250.20	108.79
2250.40	111.21
2250.60	111.65
2250.80	110.22
2251.00	113.52
2251.20	116.82
2251.40	105.6
2251.60	107.58
2251.80	112.2
2252.00	108.08
2252.20	103.95
2252.40	105.27
2252.60	105.6
2252.80	109.56
2253.00	109.73
2253.20	105.27
2253.40	104.94
2253.60	107.09
2253.80	108.57
2254.00	108.24
2254.20	108.79
2254.40	110.55
2254.60	109.23
2254.80	108.24
2255.00	107.58
2255.20	107.36
2255.40	108.46
2255.60	110.88
2255.80	112.7
2256.00	114.51
2256.20	117.81
2256.40	114.18
2256.60	110.8
2256.80	109.97
2257.00	109.81
2257.20	110.3
2257.40	110.66
2257.60	110.88
2257.80	110.88
2258.00	111.05
2258.20	108.57
2258.40	108.57
2258.60	109.23
2258.80	107.09
2259.00	108.4
2259.20	109.78
2259.40	110.22
2259.60	110.44
2259.80	109.06
2260.00	107.47
2260.20	107.25
2260.40	105.43
2260.60	103.62
2260.80	104.94
2261.00	106.26
2261.20	106.26
2261.40	106.92
2261.60	107.36
2261.80	108.57
2262.00	109.01
2262.20	109.23
2262.40	108.9
2262.60	106.7
2262.80	107.58
2263.00	109.23
2263.20	108.57
2263.40	109.89
2263.60	111.21
2263.80	111.98
2264.00	112.2
2264.20	111.7
2264.40	111.21
2264.60	110.44
2264.80	112.2
2265.00	112.86
2265.20	112.86
2265.40	113.85
2265.60	111.21
2265.80	111.21
2266.00	111.21
2266.20	112.07
2266.40	113.78
2266.60	115.5
2266.80	112.53
2267.00	112.53
2267.20	108.9
2267.40	106.7
2267.60	105.6
2267.80	107.14
2268.00	108.9
2268.20	110.44
2268.40	110.06
2268.60	108.9
2268.80	108.9
2269.00	109.12
2269.20	109.34
2269.40	109.56
2269.60	110.63
2269.80	111.46
2270.00	113.63
2270.20	117.15
2270.40	117.48
2270.60	115.06
2270.80	112.53
2271.00	112.36
2271.20	112.2
2271.40	113.52
2271.60	112.86
2271.80	113.35
2272.00	112.86
2272.20	110.22
2272.40	109.56
2272.60	110.48
2272.80	111.41
2273.00	112.69
2273.20	114.34
2273.40	114.35
2273.60	113.52
2273.80	115.17
2274.00	113.85
2274.20	113.85
2274.40	113.85
2274.60	113.85
2274.80	112.53
2275.00	112.75
2275.20	112.04
2275.40	112.13
2275.60	113.98
2275.80	115.83
2276.00	115.83
2276.20	116.49
2276.40	117.15
2276.60	113.68
2276.80	111.7
2277.00	108.57
2277.20	107.75
2277.40	107.25
2277.60	109.07
2277.80	109.56
2278.00	111.32
2278.20	111.7
2278.40	111.21
2278.60	110.44
2278.80	108.9
2279.00	107.25
2279.20	117.48
2279.40	117.48
2279.60	111.87
2279.80	118.8
2280.00	121.11
2280.20	116.16
2280.40	120.45
2280.60	115.5
2280.80	117.48
2281.00	115.5
2281.20	117.48
2281.40	111.87
2281.60	117.15
2281.80	113.85
2282.00	112.53
2282.20	114.18
2282.40	112.53
2282.60	110.88
2282.80	110.71
2283.00	108.9
2283.20	112.2
2283.40	114.51
2283.60	115.83
2283.80	112.86
2284.00	117.48
2284.20	117.15
2284.40	120.12
2284.60	117.48
2284.80	124.41
2285.00	120.29
2285.20	116.16
2285.40	115.83
2285.60	118.8
2285.80	121.11
2286.00	122.43
2286.20	122.43
2286.40	121.77
2286.60	121.77
2286.80	122.1
2287.00	121.94
2287.20	122.43
