Depth	ROP	Gas
2200	3.17	21
2200.2	18.81	21
2200.4	7.60	20.6
2200.6	6.67	20.6
2200.8	6.67	20.6
2201	2.59	20.6
2201.2	2.16	17.4
2201.4	1.84	19
2201.6	1.81	19
2201.8	1.71	19
2202	1.77	19
2202.2	3.39	19.4
2202.4	2.89	19.4
2202.6	1.76	19
2202.8	1.44	19
2203	1.43	19
2203.2	1.43	19
2203.4	1.30	19
2203.6	1.32	20.6
2203.8	1.64	20.6
2204	2.05	21
2204.2	1.64	21
2204.4	1.74	21
2204.6	1.76	21
2204.8	1.84	21
2205	1.76	21
2205.2	1.77	22.6
2205.4	1.87	22.6
2205.6	2.27	24.6
2205.8	2.40	25.8
2206	2.33	25
2206.2	3.23	16.6
2206.4	1.26	16.6
2206.6	0.89	16.6
2206.8	0.81	16.6
2207	0.80	16.6
2207.2	0.81	16.6
2207.4	0.80	16.6
2207.6	0.76	16.6
2207.8	0.76	17
2208	1.02	17
2208.2	1.02	17
2208.4	1.03	19.4
2208.6	0.85	19.8
2208.8	0.80	19.4
2209	0.78	19.4
2209.2	0.75	19.4
2209.4	8.34	21.4
2209.6	1.73	21
2209.8	2.22	22.6
2210	2.15	22.6
2210.2	2.13	23
2210.4	2.31	23
2210.6	1.75	22.2
2210.8	1.55	22.2
2211	1.62	22.2
2211.2	1.62	22.6
2211.4	1.85	22.6
2211.6	1.85	22.6
2211.8	1.87	23
2212	1.56	23
2212.2	1.61	24.6
2212.4	1.85	24.6
2212.6	1.73	24.6
2212.8	1.63	24.6
2213	2.24	24.6
2213.2	2.33	24.6
2213.4	2.45	25
2213.6	2.51	25
2213.8	2.39	25
2214	2.27	25
2214.2	2.27	26.6
2214.4	2.10	26.6
2214.6	2.02	26.6
2214.8	2.08	26.6
2215	2.15	26.6
2215.2	2.15	26.6
2215.4	2.06	26.6
2215.6	2.08	28.2
2215.8	2.25	28.2
2216	2.15	28.2
2216.2	2.18	28.2
2216.4	2.39	28.2
2216.6	4.18	26.6
2216.8	4.18	24.6
2217	4.18	24.6
2217.2	1.10	24.6
2217.4	1.10	24.6
2217.6	1.10	24.6
2217.8	1.10	24.6
2218	1.01	24.6
2218.2	1.01	24.6
2218.4	0.98	24.6
2218.6	1.01	24.6
2218.8	0.98	24.6
2219	4.04	17
2219.2	4.04	17
2220.2	13.13	17
2220.4	3.65	17.4
2220.6	1.16	17.4
2220.8	1.16	17.4
2221	1.16	17.8
2221.2	3.49	19.4
2221.4	3.63	19.4
2221.6	4.34	19
2221.8	4.66	19
2222	5.51	19
2222.2	2.93	19.4
2222.4	3.14	19.8
2222.6	3.12	19.4
2222.8	3.45	19.8
2223	3.45	20.6
2223.2	3.22	19.4
2223.4	3.75	19.4
2223.6	3.45	19.8
2223.8	3.49	19.4
2224	2.75	19.4
2224.2	2.66	19.4
2224.4	2.86	19.4
2224.6	2.57	19.4
2224.8	2.60	19.4
2225	2.44	19
2225.2	3.56	20.6
2225.4	3.21	21
2225.6	2.63	19.4
2225.8	3.09	19.4
2226	3.29	19.8
2226.2	2.78	19.8
2226.4	3.18	19.8
2226.6	2.54	19.4
2226.8	2.86	19.4
2227	2.74	19.4
2227.2	2.88	19.4
2227.4	3.83	19.4
2227.6	1.51	19.4
2227.8	0.90	19.4
2228	0.80	19.4
2228.6	0.69	19.4
2228.8	0.66	19.4
2229	0.66	19.4
2229.2	0.66	19.4
2229.4	0.63	19.4
2229.6	0.61	19.4
2229.8	4.49	19.4
2230	1.78	15
2230.2	1.78	15
2230.4	5.68	17
2230.6	2.39	17
2230.8	2.62	17
2231	3.26	19
2231.2	14.63	19.4
2231.4	3.46	19.4
2231.6	3.58	20.2
2231.8	3.57	22.2
2232	3.36	27.4
2232.2	3.50	17.4
2232.4	5.51	15
2232.6	3.71	15.4
2232.8	4.01	15.4
2233	4.03	15.4
2233.2	4.54	15
2233.4	5.06	15
2233.6	4.39	136.4
2233.8	4.72	148.4
2234	3.96	92.4
2234.2	2.98	65.6
2234.4	3.04	54.4
2234.6	3.10	52.4
2234.8	3.47	45.8
2235	3.44	45.8
2235.2	3.54	43.8
2235.4	3.35	40.2
2235.6	3.03	38.6
2235.8	3.63	38.6
2236	3.48	36.6
2236.2	3.20	35
2236.4	3.20	33
2239	3.20	51.34
2239.2	3.18	51.36
2239.4	4.19	39.67
2239.6	6.10	44.7
2239.8	3.13	45.45
2240	7.45	47.97
2240.2	8.49	50.95
2240.4	3.85	53.79
2240.6	3.48	53.89
2240.8	3.35	53.91
2241	4.56	53.59
2241.2	4.71	55.19
2241.4	3.84	55.15
2241.6	3.70	54.63
2241.8	3.95	53.74
2242	3.73	52.06
2242.2	3.53	52.06
2242.4	3.50	52.06
2242.6	4.61	53.94
2242.8	3.10	54.01
2243	4.18	53.65
2243.2	4.11	53.2
2243.4	3.60	54.26
2243.6	3.17	54.16
2243.8	2.77	48.08
2244	2.75	46.04
2244.2	2.64	44.77
2244.4	3.21	45.07
2244.6	2.99	45.06
2244.8	2.78	44.4
2245	3.38	42.69
2245.2	3.01	42.51
2245.4	3.19	43.51
2245.6	3.20	44.22
2245.8	3.57	45.92
2246	3.21	45.52
2246.2	3.12	45.78
2246.4	3.34	49.07
2246.6	3.34	57.99
2246.8	1.39	58.48
2247	0.91	58.5
2247.2	0.77	58.55
2247.4	0.73	58.58
2247.6	0.71	31.15
2247.8	0.67	31.17
2248	0.67	31.19
2248.2	0.65	31.58
2248.4	0.63	31.6
2248.6	0.61	31.61
2248.8	0.61	50.86
2249	1.51	52.18
2249.2	4.96	52.31
2249.4	3.39	52.02
2249.6	2.72	51.73
2249.8	2.55	51.85
2250	2.73	52.4
2250.2	2.71	54.1
2250.4	2.30	54.7
2250.6	2.28	54.83
2250.8	2.13	56.12
2251	2.25	56.25
2251.2	2.25	56.77
2251.4	2.43	58.6
2251.6	2.24	58.75
2251.8	2.10	59.31
2252	3.29	61.06
2252.2	2.59	61.15
2252.4	2.47	61.28
