MD	TVD	SS
2240.20	2063.30	-838.60
2249.65	2066.82	-842.12
2259.12	2069.88	-845.18
2268.62	2072.57	-847.87
2278.24	2075.25	-850.55
2287.74	2078.18	-853.48
2297.22	2081.22	-856.52
2306.71	2084.04	-859.34
2316.32	2086.38	-861.68
2325.61	2088.13	-863.43
2335.20	2089.48	-864.78
2344.70	2090.41	-865.71
2354.19	2091.05	-866.35
2363.78	2091.60	-866.90
2373.28	2092.07	-867.37
2382.75	2092.42	-867.72
2392.23	2092.60	-867.90
2401.64	2092.65	-867.95
2411.16	2092.82	-868.12
2420.75	2093.09	-868.39
2430.23	2093.43	-868.73
2439.69	2093.43	-868.73
2449.17	2094.00	-869.30
2458.65	2094.09	-869.39
2468.11	2094.05	-869.35
2477.71	2094.01	-869.31
2487.20	2094.09	-869.39
2496.75	2094.32	-869.62
2506.38	2094.62	-869.92
2515.89	2094.92	-870.22
2525.34	2095.13	-870.43
2534.98	2095.31	-870.61
2544.45	2095.39	-870.69
2553.92	2095.40	-870.70
2563.64	2095.41	-870.71
2573.18	2095.44	-870.74
2582.69	2095.49	-870.79
2592.17	2095.53	-870.83
2601.63	2095.53	-870.83
2611.05	2095.43	-870.73
2620.52	2095.28	-870.58
2630.01	2095.15	-870.45
2639.53	2095.02	-870.32
2649.13	2094.80	-870.10
2658.84	2094.47	-869.77
2668.32	2094.06	-869.36
2677.74	2093.55	-868.85
2687.28	2093.01	-868.31
2696.93	2092.57	-867.87
2707.41	2092.17	-867.47
2717.02	2091.75	-867.05
2726.48	2091.47	-866.77
2735.91	2091.45	-866.75
2745.40	2091.50	-866.80
2754.85	2091.42	-866.72
2764.32	2091.19	-866.49
2774.03	2090.86	-866.16
2783.70	2090.43	-865.73
2793.38	2089.97	-865.27
2802.92	2089.56	-864.86
2812.95	2089.27	-864.57
2822.02	2089.20	-864.50
2831.55	2089.20	-864.50
2841.22	2089.26	-864.56
2850.93	2089.31	-864.61
2860.45	2089.24	-864.54
2869.94	2089.09	-864.39
2879.39	2088.94	-864.24
2888.94	2088.83	-864.13
2898.56	2088.74	-864.04
2908.19	2088.64	-863.94
2917.68	2088.61	-863.91
2927.03	2088.71	-864.01
2936.68	2088.96	-864.26
2946.17	2089.26	-864.56
2955.70	2089.49	-864.79
2965.27	2089.54	-864.84
2974.89	2089.44	-864.74
2984.41	2089.32	-864.62
2993.97	2089.20	-864.50
3003.44	2089.06	-864.36
3012.90	2088.89	-864.19
3022.42	2088.68	-863.98
3031.98	2088.47	-863.77
3041.45	2088.36	-863.66
3051.05	2088.33	-863.63
3060.55	2088.34	-863.64
3070.27	2088.37	-863.67
3079.98	2088.35	-863.65
3089.60	2088.29	-863.59
3099.14	2088.32	-863.62
3108.69	2088.52	-863.82
3118.33	2088.70	-864.00
3127.95	2088.84	-864.14
3137.50	2089.17	-864.47
3147.04	2089.77	-865.07
3156.50	2090.36	-865.66
3166.13	2090.90	-866.20
3175.86	2091.53	-866.83
3185.50	2092.08	-867.38
3195.01	2092.53	-867.83
3204.48	2092.89	-868.19
3213.95	2093.45	-868.75
3223.58	2093.95	-869.25
3232.58	2094.49	-869.79
3241.92	2094.90	-870.20
3251.51	2095.31	-870.61
3260.99	2095.78	-871.08
3270.49	2096.30	-871.60
3280.07	2096.90	-872.20
3289.54	2097.56	-872.86
3299.00	2098.22	-873.52
3308.46	2098.89	-874.19
3318.12	2099.61	-874.91
3327.60	2100.27	-875.57
3337.19	2100.86	-876.16
3346.77	2101.41	-876.71
3356.25	2101.98	-877.28
3365.74	2102.55	-877.85
3375.21	2102.98	-878.28
3384.80	2103.29	-878.59
3394.38	2103.55	-878.85
3403.98	2103.79	-879.09
3413.47	2104.03	-879.33
3422.94	2104.24	-879.54
3432.44	2104.47	-879.77
3441.91	2104.82	-880.12
3451.39	2105.42	-880.72
3460.85	2105.67	-880.97
3470.33	2106.08	-881.38
3479.92	2106.49	-881.79
3489.50	2106.90	-882.20
3499.09	2107.32	-882.62
3508.53	2107.75	-883.05
3518.02	2108.22	-883.52
3527.50	2108.67	-883.97
3536.99	2109.04	-884.34
3546.70	2109.37	-884.67
3555.95	2109.74	-885.04
3565.44	2110.36	-885.66
3574.92	2110.79	-886.09
3584.57	2111.19	-886.49
3594.02	2111.38	-886.68
3603.52	2111.75	-887.05
3613.01	2112.14	-887.44
3631.97	2113.02	-888.32
3651.04	2114.00	-889.30
3670.04	2114.94	-890.24
3689.17	2115.86	-891.16
3708.19	2116.66	-891.96
3727.16	2117.30	-892.60
3746.24	2117.65	-892.95
3755.73	2117.73	-893.03
3765.32	2117.88	-893.18
3774.79	2118.48	-893.78
3784.28	2118.46	-893.76
3793.87	2118.92	-894.22
3803.37	2119.30	-894.60
3812.85	2119.63	-894.93
3822.32	2119.94	-895.24
3831.80	2120.19	-895.49
3841.30	2120.49	-895.79
3850.80	2120.87	-896.17
3860.28	2121.15	-896.45
3869.78	2121.20	-896.50
3879.28	2121.09	-896.39
3888.74	2120.93	-896.23
3898.25	2120.78	-896.08
3907.74	2120.66	-895.96
3917.24	2120.55	-895.85
3926.74	2120.41	-895.71
3936.25	2120.23	-895.53
3945.70	2120.13	-895.43
3955.29	2120.17	-895.47
3964.77	2120.25	-895.55
3974.25	2120.35	-895.65
3983.73	2120.53	-895.83
3993.21	2120.77	-896.07
4002.67	2121.02	-896.32
4012.14	2121.27	-896.57
4021.61	2121.56	-896.86
4031.20	2121.80	-897.10
4040.67	2121.91	-897.21
4050.17	2121.99	-897.29
4059.76	2122.12	-897.42
4069.26	2122.27	-897.57
4078.76	2122.49	-897.79
4086.90	2122.74	-898.04
4097.77	2123.03	-898.33
4107.27	2123.13	-898.43
4116.75	2123.11	-898.41
4126.24	2123.05	-898.35
4135.74	2123.01	-898.31
4145.21	2123.02	-898.32
4154.66	2123.12	-898.42
4164.13	2123.36	-898.66
4173.59	2123.79	-899.09
4183.21	2124.32	-899.62
4192.68	2124.86	-900.16
4202.18	2125.41	-900.71
4211.68	2125.91	-901.21
4221.18	2126.32	-901.62
4230.78	2126.64	-901.94
4240.26	2126.87	-902.17
4249.74	2127.1	-902.40
4259.23	2127.48	-902.78
4268.83	2127.94	-903.24
4278.31	2128.39	-903.69
4287.79	2128.87	-904.17
4297.34	2129.38	-904.68
4306.94	2129.8	-905.10
4316.53	2130.12	-905.42
4326.11	2130.42	-905.72
4335.58	2130.72	-906.02
4345.06	2131.01	-906.31
4354.62	2131.3	-906.60
4364.11	2131.64	-906.94
4373.58	2132.04	-907.34
4383.22	2132.46	-907.76
4392.69	2133.02	-908.32
4402.31	2133.68	-908.98
4411.79	2134.26	-909.56
4421.27	2134.82	-910.12
4430.87	2135.39	-910.69
4440.34	2135.84	-911.14
4449.82	2136.2	-911.50
4459.4	2136.59	-911.89
4468.91	2137.02	-912.32
4478.37	2137.41	-912.71
4487.85	2137.7	-913.00
4497.43	2137.84	-913.14
4507.07	2137.79	-913.09
4516.53	2137.71	-913.01
4525.99	2137.71	-913.01
4535.59	2137.78	-913.08
4545.07	2137.9	-913.20
4553	2138.02	-913.32
4570	2138.35	-913.65
